kod,opis
BAAI1_W,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Koszty zakończonych prac rozwojowych
BAAI1_A,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Koszty zakończonych prac rozwojowych | Odpisy aktualizujące wartość kosztów zakończonych prac rozwojowych
BAAI1_U,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Koszty zakończonych prac rozwojowych | Umorzenie zakończonych prac rozwojowych
BAAI2_W,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Wartość firmy
BAAI2_A,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Wartość firmy | Odpisy aktualizujące wartość firmy
BAAI2_U,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Wartość firmy | Umorzenie wartości firmy
BAAI3_W,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Inne wartości niematerialne i prawne
BAAI3_A,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Inne wartości niematerialne i prawne | Odpisy aktualizujące inne wartości niematerialne i prawne
BAAI3_U,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Inne wartości niematerialne i prawne | Umorzenie innych wartości niematerialnych i prawnych
BAAI4_W,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Zaliczki na wartości niematerialne i prawne
BAAI4_A,AKTYWA | Aktywa trwałe | Wartości niematerialne i prawne | Zaliczki na wartości niematerialne i prawne | Odpisy aktualizujące zaliczki na wartości niematerialne i prawne
BAAII1a_W,AKTYWA | Aktywa trwałe | Rzeczowe aktywa trwałe | Środki trwałe | Grunty (w tym prawo użytkowania wieczystego gruntu)
BAAII1a_A,AKTYWA | Aktywa trwałe | Rzeczowe aktywa trwałe | Środki trwałe | Grunty (w tym prawo użytkowania wieczystego gruntu) | Odpisy aktualizujące wartość gruntów (w tym prawa użytkowania wieczystego gruntu)
BAAII1a_U,AKTYWA | Aktywa trwałe | Rzeczowe aktywa trwałe | Środki trwałe | Grunty (w tym prawo użytkowania wieczystego gruntu) | Umorzenie gruntów (w tym prawa użytkowania wieczystego gruntu)
BAAII1b_W,"AKTYWA | Aktywa trwałe | Rzeczowe aktywa trwałe | Środki trwałe | Budynki, lokale i obiekty inżynierii lądowej i wodnej"
BAAII1b_A,"AKTYWA | Aktywa trwałe | Rzeczowe aktywa trwałe | Środki trwałe | Budynki, lokale i obiekty inżynierii lądowej i wodnej | Odpisy aktualizujące wartość budynków, lokali i obiektów inżynierii lądowej i wodnej"
BAAII1b_U,"AKTYWA | Aktywa trwałe | Rzeczowe aktywa trwałe | Środki trwałe | Budynki, lokale i obiekty inżynierii lądowej i wodnej | Umorzenie budynków, lokali i obiektów inżynierii lądowej i wodnej"
